Signal key,Signal label,Time (s),Signal,Baseline,Detrended signal,Envelope,Envelope fit,Asymptotic envelope fit,Linear envelope fit,Normalized envelope,Normalized asymptotic envelope fit
wall_temperature,$T_{\mathrm{w}}$,573.8000000000573,163.03184108299982,148.1228683182673,14.90897276473251,17.525217275274745,17.260864748761314,17.260864748761314,16.442697120903162,5.65970356969377,5.57433190699396
wall_temperature,$T_{\mathrm{w}}$,573.9000000000574,163.0318410830487,148.10800341818373,14.923837664864976,17.513441728424723,17.262381296501562,17.262381296501562,16.44650829800114,5.655900700748106,5.574821670431655
wall_temperature,$T_{\mathrm{w}}$,574.0000000000573,163.1169841740001,148.09458243446483,15.022401739535269,17.504878404228677,17.263896377904175,17.263896377904175,16.450319475099114,5.653135207130563,5.575310960321079
wall_temperature,$T_{\mathrm{w}}$,574.1000000000574,163.1169841740001,148.08131842076733,15.035665753232763,17.49276269516914,17.265409994386957,17.265409994386957,16.4541306521971,5.649222484067759,5.575799777120106
wall_temperature,$T_{\mathrm{w}}$,574.2000000000573,163.1169841740001,148.0688107853623,15.048173388637792,17.48407122096343,17.26692214736632,17.26692214736632,16.457941829295073,5.646415604882451,5.576288121286161
wall_temperature,$T_{\mathrm{w}}$,574.3000000000575,163.11698417416147,148.05705942290413,15.059924751257341,17.47466059386037,17.268432838257315,17.268432838257315,16.461753006393053,5.643376477950577,5.576775993276229
wall_temperature,$T_{\mathrm{w}}$,574.4000000000574,163.39751721900012,148.04627796532495,15.351239253675175,17.467319488958577,17.26994206847362,17.26994206847362,16.465564183491026,5.6410056954966095,5.577263393546852
wall_temperature,$T_{\mathrm{w}}$,574.5000000000575,163.39751721900012,148.0358633946765,15.36165382432361,17.45756370582934,17.271449839427557,17.271449839427557,16.469375360589012,5.637855101713125,5.577750322554136
wall_temperature,$T_{\mathrm{w}}$,574.6000000000574,163.39751721900012,148.02621286395362,15.371304355046504,17.449963069873487,17.272956152530067,17.272956152530067,16.473186537686985,5.635400504673009,5.578236780753738
wall_temperature,$T_{\mathrm{w}}$,574.7000000000576,163.39751721907774,148.01732626134572,15.380190957732026,17.441866477050212,17.27446100919074,17.27446100919074,16.476997714784964,5.63278574021192,5.578722768600879
wall_temperature,$T_{\mathrm{w}}$,574.8000000000575,163.53243155399988,148.00941063973883,15.523020914261053,17.434691325890334,17.275964410817792,17.275964410817792,16.480808891882937,5.630468551900084,5.579208286550338
wall_temperature,$T_{\mathrm{w}}$,574.9000000000576,163.53243155399988,148.0026102038094,15.529821350190474,17.42511789939153,17.277466358818096,17.277466358818096,16.484620068980924,5.627376849510412,5.579693335056458
wall_temperature,$T_{\mathrm{w}}$,575.0000000000575,163.53243155399988,147.99657145318747,15.535860100812414,17.4171606384984,17.278966854597133,17.278966854597133,16.488431246078896,5.624807081776613,5.580177914573136
wall_temperature,$T_{\mathrm{w}}$,575.1000000000577,163.5324315539529,147.99129429580884,15.541137258144062,17.408994545827092,17.28046589955906,17.28046589955906,16.492242423176876,5.622169872598758,5.580662025553838
wall_temperature,$T_{\mathrm{w}}$,575.2000000000576,163.45093594399992,147.98692307271222,15.464012871287707,17.401343488941325,17.281963495106652,17.281963495106652,16.49605360027485,5.619698992307339,5.581145668451585
wall_temperature,$T_{\mathrm{w}}$,575.3000000000577,163.45093594399992,147.98361323577922,15.467322708220706,17.392074397895986,17.28345964264134,17.28345964264134,16.499864777372835,5.6167055739175344,5.581628843718964
wall_temperature,$T_{\mathrm{w}}$,575.4000000000576,163.45093594399992,147.9810626517638,15.469873292236116,17.383762660968966,17.28495434356319,17.28495434356319,16.503675954470808,5.614021329470387,5.582111551808122
wall_temperature,$T_{\mathrm{w}}$,575.5000000000578,163.4509359439527,147.97927124433002,15.471664699622664,17.375510833679684,17.28644759927093,17.28644759927093,16.507487131568787,5.6113564326173515,5.582593793170772
wall_temperature,$T_{\mathrm{w}}$,575.6000000000577,163.36912280899992,147.97796078429025,15.391162024709672,17.36796569029483,17.28793941116191,17.28793941116191,16.51129830866676,5.608919756696115,5.583075568258184
wall_temperature,$T_{\mathrm{w}}$,575.7000000000578,163.36912280899992,147.97791054485023,15.391212264149686,17.35953983816558,17.28942978063216,17.28942978063216,16.51510948576474,5.606198659169928,5.583556877521199
wall_temperature,$T_{\mathrm{w}}$,575.8000000000577,163.36912280899992,147.97860880434638,15.39051400465354,17.351576855528176,17.29091870907634,17.29091870907634,16.51892066286272,5.6036270436201505,5.584037721410216
wall_temperature,$T_{\mathrm{w}}$,575.9000000000578,163.3691228089441,147.9800554946679,15.38906731427619,17.34426228176631,17.292406197887768,17.292406197887768,16.5227318399607,5.601264829298892,5.584518100375207
wall_temperature,$T_{\mathrm{w}}$,576.0000000000578,163.27267681699993,147.98248370690953,15.2901931100904,17.33644828809359,17.293892248458402,17.293892248458402,16.52654301705867,5.598741329179698,5.584998014865695
wall_temperature,$T_{\mathrm{w}}$,576.1000000000579,163.27267681699993,147.9866279886848,15.286048828315131,17.329711585628868,17.29537686217888,17.29537686217888,16.53035419415665,5.596565736239042,5.585477465330784
wall_temperature,$T_{\mathrm{w}}$,576.2000000000578,163.27267681699993,147.99151070063647,15.281166116363465,17.32284903616506,17.296860040438474,17.296860040438474,16.534165371254623,5.594349501479299,5.585956452219132
wall_temperature,$T_{\mathrm{w}}$,576.3000000000579,163.27267681691373,147.9971318173052,15.275544999608542,17.317504154469002,17.29834178462512,17.29834178462512,16.53797654835261,5.592623391865956,5.586434975978969
wall_temperature,$T_{\mathrm{w}}$,576.4000000000578,163.1240037910001,148.00424797381282,15.119755817187269,17.309475057157425,17.299822096125407,17.299822096125407,16.541787725450583,5.590030424828688,5.586913037058089
wall_temperature,$T_{\mathrm{w}}$,576.500000000058,163.1240037910001,148.01248592594277,15.111517865057323,17.30214670943371,17.301300976324598,17.301300976324598,16.545598902548562,5.5876637622578125,5.587390635903858
wall_temperature,$T_{\mathrm{w}}$,576.6000000000579,163.1240037910001,148.02146727628312,15.102536514716974,17.29435354996867,17.302778426606594,17.302778426606594,16.549410079646535,5.585146990468299,5.5878677729632
wall_temperature,$T_{\mathrm{w}}$,576.700000000058,163.12400379096363,148.03119203935861,15.092811751605012,17.288386601176768,17.304254448353984,17.304254448353984,16.55322125674452,5.5832199866059655,5.588344448682618
wall_temperature,$T_{\mathrm{w}}$,576.8000000000579,163.06110370500005,148.04210318776285,15.019000517237203,17.279656611499366,17.30572904294799,17.30572904294799,16.557032433842494,5.580400668992694,5.588820663508173
wall_temperature,$T_{\mathrm{w}}$,576.9000000000581,163.06110370500005,148.0548910063326,15.00621269866744,17.27178011836201,17.307202211768534,17.307202211768534,16.560843610940474,5.577856984904448,5.589296417885504
wall_temperature,$T_{\mathrm{w}}$,577.000000000058,163.06110370500005,148.06841310001596,14.992690604984091,17.263100456398824,17.30867395619417,17.30867395619417,16.564654788038446,5.575053920438818,5.589771712259811
wall_temperature,$T_{\mathrm{w}}$,577.1000000000581,163.06110370478603,148.08266953918468,14.978434165601357,17.256472343864896,17.310144277602138,17.310144277602138,16.568465965136433,5.572913396211394,5.590246547075869
wall_temperature,$T_{\mathrm{w}}$,577.200000000058,162.69272572200003,148.09658023500975,14.596145486990281,17.247620092311497,17.311613177368343,17.311613177368343,16.572277142234405,5.570054594581169,5.59072092277802
wall_temperature,$T_{\mathrm{w}}$,577.3000000000582,162.69272572200003,148.1135229621973,14.57920275980274,17.24179887101468,17.31308065686736,17.31308065686736,16.576088319332385,5.568174652869972,5.5911948398101785
wall_temperature,$T_{\mathrm{w}}$,577.4000000000581,162.69272572200003,148.1311549748542,14.561570747145822,17.23504073428143,17.314546717472428,17.314546717472428,16.579899496430357,5.565992137812221,5.5916682986158275
wall_temperature,$T_{\mathrm{w}}$,577.5000000000582,162.6927257216041,148.14947638783212,14.543249333771968,17.23190722994859,17.316011360555475,17.316011360555475,16.583710673528344,5.564980184272378,5.592141299638026
wall_temperature,$T_{\mathrm{w}}$,577.6000000000581,162.01250370499997,148.16737811791307,13.845125587086898,17.22504229434041,17.31747458748708,17.31747458748708,16.587521850626317,5.5627631789162075,5.592613843319397
wall_temperature,$T_{\mathrm{w}}$,577.7000000000583,162.01250370499997,148.1886749782943,13.82382872670567,17.22236768238453,17.318936399636517,17.318936399636517,16.591333027724296,5.561899422958351,5.593085930102141
wall_temperature,$T_{\mathrm{w}}$,577.8000000000582,162.01250370499997,148.21061046717236,13.801893237827613,17.218861618725917,17.320396798371718,17.320396798371718,16.59514420482227,5.5607671527734785,5.593557560428029
wall_temperature,$T_{\mathrm{w}}$,577.9000000000583,162.0125037043669,148.23318475743278,13.779318946934126,17.221202782906026,17.32185578505931,17.32185578505931,16.59895538192025,5.561523223015534,5.594028734738407
wall_temperature,$T_{\mathrm{w}}$,578.0000000000582,160.92703112300006,148.25506240370396,12.671968719296103,17.21814799537145,17.32331336106459,17.32331336106459,16.602766559018228,5.560536690772166,5.594499453474192
wall_temperature,$T_{\mathrm{w}}$,578.1000000000583,160.92703112300006,148.28152135221214,12.645509770787925,17.21752729189706,17.324769527751528,17.324769527751528,16.606577736116208,5.560336236899637,5.594969717075874
wall_temperature,$T_{\mathrm{w}}$,578.2000000000583,160.92703112300006,148.30854892052014,12.618482202479925,17.215680326138887,17.326224286482788,17.326224286482788,16.61038891321418,5.5597397661951415,5.595439525983521
wall_temperature,$T_{\mathrm{w}}$,578.3000000000584,160.92703112228577,148.33614537582534,12.59088574646043,17.221599740129285,17.32767763861971,17.32767763861971,16.61420009031216,5.561651418870581,5.59590888063677
wall_temperature,$T_{\mathrm{w}}$,578.4000000000583,159.70465382600003,148.36303639564696,11.341617430353068,17.221001151803623,17.329129585522317,17.329129585522317,16.61801126741014,5.561458107002871,5.596377781474837
wall_temperature,$T_{\mathrm{w}}$,578.5000000000584,159.70465382600003,148.39776732829637,11.306886497703658,17.221621290731598,17.330580128549325,17.330580128549325,16.62182244450812,5.561658378557239,5.596846228936515
wall_temperature,$T_{\mathrm{w}}$,578.6000000000583,159.70465382600003,148.43295357518866,11.271700250811364,17.220664484363507,17.33202926905812,17.33202926905812,16.62563362160609,5.561349381508476,5.597314223460165
wall_temperature,$T_{\mathrm{w}}$,578.7000000000585,159.70465382516647,148.46859561876923,11.236058206397246,17.229108151591593,17.33347700840479,17.33347700840479,16.62944479870407,5.564076232354401,5.597781765483734
wall_temperature,$T_{\mathrm{w}}$,578.8000000000584,158.27818913300007,148.50295177241486,9.775237360585209,17.23031311625646,17.33492334794411,17.33492334794411,16.633255975802044,5.5644653711997565,5.598248855444735
wall_temperature,$T_{\mathrm{w}}$,578.9000000000585,158.27818913300007,148.54624814330663,9.731940989693442,17.231556372270163,17.33636828902954,17.33636828902954,16.63706715290003,5.5648668760934346,5.59871549378027
wall_temperature,$T_{\mathrm{w}}$,579.0000000000584,158.27818913300007,148.58986486708363,9.688324265916435,17.23141663842862,17.33781183301323,17.33781183301323,16.640878329998003,5.564821749570359,5.599181680927007
wall_temperature,$T_{\mathrm{w}}$,579.1000000000586,158.27818913177498,148.6338026684908,9.644386463284178,17.240658327904214,17.339253981246035,17.339253981246035,16.644689507095983,5.567806318725391,5.5996474173212
wall_temperature,$T_{\mathrm{w}}$,579.2000000000585,156.18574436900016,148.67608675066708,7.50965761833308,17.243441833379165,17.340694735077484,17.340694735077484,16.648500684193955,5.56870524143918,5.600112703398674
wall_temperature,$T_{\mathrm{w}}$,579.3000000000586,156.18574436900016,148.72701030361594,7.4587340653842205,17.245656253602334,17.342134095855823,17.342134095855823,16.652311861291942,5.569420380192955,5.600577539594841
wall_temperature,$T_{\mathrm{w}}$,579.4000000000585,156.18574436900016,148.7781192989303,7.407625070069855,17.24660286815717,17.343572064927972,17.343572064927972,16.656123038389914,5.569726085833631,5.601041926344684
wall_temperature,$T_{\mathrm{w}}$,579.5000000000587,156.18574436753337,148.82941468960018,7.356329677933189,17.25793127919249,17.345008643639574,17.345008643639574,16.659934215487894,5.573384553935252,5.601505864082772
wall_temperature,$T_{\mathrm{w}}$,579.6000000000586,153.68538047400006,148.8787133062526,4.806667167747463,17.26353273230915,17.34644383333495,17.34644383333495,16.663745392585867,5.575193522332156,5.601969353243249
wall_temperature,$T_{\mathrm{w}}$,579.7000000000587,153.68538047400006,148.93658090450646,4.748799569493599,17.266611035247333,17.347877635357126,17.347877635357126,16.667556569683853,5.576187648787433,5.602432394259842
wall_temperature,$T_{\mathrm{w}}$,579.8000000000586,153.68538047400006,148.99449628457148,4.690884189428573,17.268683703717695,17.349310051047834,17.349310051047834,16.671367746781826,5.576857009341213,5.602894987565857
wall_temperature,$T_{\mathrm{w}}$,579.9000000000588,153.68538047237504,149.0524606227095,4.632919849665541,17.281245710356107,17.350741081747508,17.350741081747508,16.675178923879805,5.580913862542927,5.603357133594181
wall_temperature,$T_{\mathrm{w}}$,580.0000000000587,150.920616135,149.10745811523898,1.8131580197610049,17.28872987838085,17.352170728795283,17.352170728795283,16.678990100977778,5.583330846698986,5.603818832777283
wall_temperature,$T_{\mathrm{w}}$,580.1000000000588,150.920616135,149.16955418619077,1.7510619488092232,17.29104409157333,17.353598993529005,17.353598993529005,16.682801278075765,5.584078213220083,5.6042800855472175
wall_temperature,$T_{\mathrm{w}}$,580.2000000000587,150.920616135,149.23156787498888,1.6890482600111056,17.295322272938446,17.355025877285215,17.355025877285215,16.686612455173737,5.585459835939141,5.604740892335613
wall_temperature,$T_{\mathrm{w}}$,580.3000000000588,150.9206161329195,149.29350050462048,1.6271156282990091,17.30568480053308,17.356451381399175,17.356451381399175,16.690423632271717,5.588806375585252,5.605201253573689
wall_temperature,$T_{\mathrm{w}}$,580.4000000000588,147.3877463270001,149.35032852439974,-1.9625821973996551,17.312378827353882,17.357875507204845,17.357875507204845,16.69423480936969,5.590968186585836,5.605661169692242
wall_temperature,$T_{\mathrm{w}}$,580.5000000000589,147.3877463270001,149.41226786644677,-2.024521539446681,17.312787841774846,17.359298256034904,17.359298256034904,16.69804598646767,5.591100276267922,5.606120641121656
wall_temperature,$T_{\mathrm{w}}$,580.6000000000588,147.3877463270001,149.4739930259687,-2.0862466989686084,17.318549099258384,17.360719629220736,17.360719629220736,16.70185716356565,5.5929608528892185,5.6065796682918965
wall_temperature,$T_{\mathrm{w}}$,580.7000000000589,147.38774632457648,149.53550533658938,-2.147759012012898,17.32622209418572,17.362139628092443,17.362139628092443,16.705668340663628,5.595438817989358,5.607038251632515
wall_temperature,$T_{\mathrm{w}}$,580.8000000000588,143.27225762499984,149.59063357384022,-6.318375948840384,17.330261070700875,17.36355825397883,17.36355825397883,16.7094795177616,5.596743190394085,5.607496391572645
wall_temperature,$T_{\mathrm{w}}$,580.900000000059,143.27225762499984,149.64826661514215,-6.37600899014231,17.32741884208439,17.36497550820744,17.36497550820744,16.71329069485958,5.5958253032607095,5.6079540885410095
wall_temperature,$T_{\mathrm{w}}$,581.0000000000589,143.27225762499984,149.70557133578538,-6.433313710785541,17.33391757361465,17.366391392104504,17.366391392104504,16.71710187195756,5.597924044375444,5.608411342965911
wall_temperature,$T_{\mathrm{w}}$,581.100000000059,143.2722576227346,149.76254895180062,-6.490291329066025,17.339844080164397,17.36780590699499,17.36780590699499,16.72091304905554,5.599837987566479,5.608868155275244
wall_temperature,$T_{\mathrm{w}}$,581.2000000000589,139.43308456599993,149.8113744612705,-10.37828989527057,17.342359360100694,17.369219054202578,17.369219054202578,16.724724226153512,5.60065028784274,5.609324525896484
wall_temperature,$T_{\mathrm{w}}$,581.3000000000591,139.43308456599993,149.86097998343885,-10.427895417438918,17.336422307527386,17.370630835049674,17.370630835049674,16.72853540325149,5.598732938852721,5.609780455256698
wall_temperature,$T_{\mathrm{w}}$,581.400000000059,139.43308456599993,149.91014182124061,-10.47705725524068,17.343664696152878,17.372041250857393,17.372041250857393,16.732346580349464,5.601071841253357,5.610235943782536
wall_temperature,$T_{\mathrm{w}}$,581.5000000000591,139.43308456430236,149.9588609581603,-10.525776393857939,17.349006023223488,17.37345030294559,17.37345030294559,16.73615775744745,5.602796802913666,5.610690991900238
wall_temperature,$T_{\mathrm{w}}$,581.600000000059,136.56155681699994,149.99863618354473,-13.437079366544793,17.353050993075296,17.374857992632823,17.374857992632823,16.739968934545423,5.604103110844118,5.611145600035631
wall_temperature,$T_{\mathrm{w}}$,581.7000000000592,136.56155681699994,150.03821622724948,-13.476659410249539,17.347944167395408,17.376264321236395,17.376264321236395,16.743780111643403,5.602453880533516,5.61159976861413
