time_s,nominal_input_flux,stored_energy_state,oscillator_displacement,release_velocity_state,wall_heat_flux_proxy,acoustic_power_proxy
16.28,1.0,1.8095011692899317,0.019002338579863044,-0.0029570886883031155,0.9999214875644062,0.0
16.3,1.0,1.809470961670334,0.018941923340667733,-0.0030207619597655035,0.9999197039064756,0.0
16.32,1.0,1.8094401192691643,0.01888023853832829,-0.003084240116972226,0.9999179215294511,0.0
16.34,1.0,1.8094086440799626,0.01881728815992504,-0.0031475189201625176,0.9999161405651376,0.0
16.36,1.0,1.8093765381385385,0.018753076277077,-0.0032105941424019936,0.9999143611455146,0.0
16.38,1.0,1.80934380352284,0.01868760704567972,-0.0032734615698640107,0.9999125834027274,0.0
16.4,1.0,1.8093104423528188,0.018620884705637514,-0.003336117002110188,0.9999108074690771,0.0
16.42,1.0,1.809276456790295,0.01855291358059011,-0.003398556252370069,0.999909033477011,0.0
16.44,1.0,1.809241849038817,0.018483698077633712,-0.003460775147819907,0.9999072615591124,0.0
16.46,1.0,1.8092066213435183,0.0184132426870365,-0.0035227695298605546,0.9999054918480915,0.0
16.48,1.0,1.8091707759909743,0.01834155198194861,-0.0035845352543944367,0.999903724476775,0.0
16.5,1.0,1.8091343153090533,0.018268630618106577,-0.0036460681921015948,0.9999019595780968,0.0
16.52,1.0,1.809097241666766,0.018194483333532283,-0.003707364228714777,0.9999001972850877,0.0
16.54,1.0,1.8090595574741133,0.018119114948226413,-0.0037684192652935617,0.9998984377308658,0.0
16.56,1.0,1.8090212651819282,0.018042530363856463,-0.003829229218497491,0.9998966810486263,0.0
16.580000000000002,1.0,1.8089823672817198,0.017964734563439298,-0.0038897900208582008,0.999894927371632,0.0
16.6,1.0,1.8089428663055092,0.017885732611018286,-0.003950097621050527,0.999893176833203,0.0
16.62,1.0,1.8089027648256675,0.017805529651335035,-0.004010147984162568,0.9998914295667071,0.0
16.64,1.0,1.8088620654547478,0.01772413090949574,-0.004069937091964693,0.999889685705549,0.0
16.66,1.0,1.8088207708453161,0.01764154169063219,-0.004129460943177467,0.9998879453831617,0.0
16.68,1.0,1.8087788836897787,0.017557767379557422,-0.004188715553738485,0.999886208732995,0.0
16.7,1.0,1.808736406720208,0.01747281344041606,-0.0042476969570680876,0.9998844758885064,0.0
16.72,1.0,1.8086933427081648,0.017386685416329383,-0.004306401204333957,0.9998827469831507,0.0
16.740000000000002,1.0,1.8086496944645176,0.01729938892903509,-0.004364824364714554,0.99988102215037,0.0
16.76,1.0,1.8086054648392609,0.017210929678521864,-0.0044229625256613945,0.9998793015235835,0.0
16.78,1.0,1.8085606567213295,0.017121313442658662,-0.00448081179316014,0.9998775852361776,0.0
16.8,1.0,1.8085152730384095,0.017030546076818854,-0.004538368291990495,0.9998758734214959,0.0
16.82,1.0,1.8084693167567496,0.016938633513499158,-0.004595628165984878,0.9998741662128282,0.0
16.84,1.0,1.8084227908809667,0.016845581761933442,-0.0046525875782858625,0.9998724637434016,0.0
16.86,1.0,1.8083756984538508,0.016751396907701395,-0.004709242711602366,0.9998707661463694,0.0
16.88,1.0,1.808328042556166,0.016656085112332103,-0.0047655897684645695,0.9998690735548014,0.0
16.9,1.0,1.8082798263064512,0.016559652612902553,-0.004821624971477549,0.9998673861016737,0.0
16.92,1.0,1.8082310528608156,0.01646210572163108,-0.004877344563573608,0.9998657039198582,0.0
16.94,1.0,1.808181725412733,0.016363450825465812,-0.004932744808263291,0.9998640271421126,0.0
16.96,1.0,1.808131847192834,0.01626369438566811,-0.004987821989885051,0.9998623559010705,0.0
16.98,1.0,1.8080814214686955,0.01616284293739104,-0.00504257241385358,0.9998606903292308,0.0
17.0,1.0,1.8080304515446266,0.016060903089252905,-0.00509699240690676,0.9998590305589471,0.0
17.02,1.0,1.807978940761453,0.015957881522905882,-0.005151078317351226,0.9998573767224186,0.0
17.04,1.0,1.8079268924963,0.01585378499259975,-0.005204826515306535,0.999855728951679,0.0
17.06,1.0,1.8078743101623704,0.015748620324740795,-0.005258233392947913,0.9998540873785864,0.0
17.080000000000002,1.0,1.807821197208723,0.015642394417445842,-0.0053112953647475635,0.9998524521348132,0.0
17.1,1.0,1.8077675571200458,0.015535114240091552,-0.005364008867714532,0.9998508233518358,0.0
17.12,1.0,1.8077133934164296,0.015426786832858889,-0.005416370361633101,0.9998492011609247,0.0
17.14,1.0,1.8076587096531365,0.015317419306272895,-0.005468376329299703,0.9998475856931334,0.0
17.16,1.0,1.8076035094203688,0.015207018840737729,-0.005520023276758331,0.999845977079289,0.0
17.18,1.0,1.8075477963430335,0.01509559268606704,-0.005571307733534445,0.9998443754499817,0.0
17.2,1.0,1.8074915740805049,0.014983148161009693,-0.0056222262528673374,0.9998427809355546,0.0
17.22,1.0,1.8074348463263854,0.014869692652770874,-0.005672775411940961,0.999841193666093,0.0
17.240000000000002,1.0,1.8073776168082643,0.01475523361652861,-0.0057229518121131966,0.999839613771415,0.0
17.26,1.0,1.807319889287473,0.01463977857494574,-0.00577275207914354,0.9998380413810604,0.0
17.28,1.0,1.8072616675588387,0.014523335117677356,-0.0058221728634192,0.9998364766242811,0.0
17.3,1.0,1.807202955450437,0.014405910900873764,-0.005871210840179598,0.9998349196300308,0.0
17.32,1.0,1.8071437568233395,0.01428751364667898,-0.005919862709739231,0.9998333705269545,0.0
17.34,1.0,1.8070840755713624,0.014168151142724801,-0.005968125197708915,0.9998318294433786,0.0
17.36,1.0,1.8070239156208103,0.014047831241620493,-0.0060159950552153675,0.9998302965073,0.0
17.38,1.0,1.8069632809302192,0.01392656186043811,-0.00606346905911913,0.9998287718463773,0.0
17.400000000000002,1.0,1.8069021754900967,0.013804350980193494,-0.0061105440122308065,0.9998272555879191,0.0
17.42,1.0,1.8068406033226616,0.013681206645322982,-0.006157216743525611,0.9998257478588748,0.0
17.44,1.0,1.806778568481578,0.013557136963155858,-0.006203484108356206,0.9998242487858241,0.0
17.46,1.0,1.8067160750516913,0.013432150103382582,-0.00624934298866382,0.9998227584949667,0.0
17.48,1.0,1.8066531271487594,0.01330625429751883,-0.006294790293187619,0.9998212771121127,0.0
17.5,1.0,1.8065897289191828,0.013179457838365384,-0.006339822957672342,0.9998198047626718,0.0
17.52,1.0,1.806525884539732,0.013051769079463902,-0.006384437945074158,0.9998183415716436,0.0
17.54,1.0,1.8064615982172743,0.012923196434548607,-0.006428632245764752,0.9998168876636075,0.0
17.56,1.0,1.806396874188497,0.012793748376993935,-0.00647240287773362,0.9998154431627124,0.0
17.580000000000002,1.0,1.806331716719629,0.012663433439258165,-0.006515746886788549,0.9998140081926669,0.0
17.6,1.0,1.8062661301061615,0.01253226021232308,-0.0065586613467542906,0.9998125828767289,0.0
17.62,1.0,1.806200118672565,0.012400237345129692,-0.006601143359669391,0.9998111673376959,0.0
17.64,1.0,1.806133686772005,0.012267373544010068,-0.006643190055981183,0.9998097616978951,0.0
17.66,1.0,1.8060668387860577,0.01213367757211529,-0.006684798594738912,0.9998083660791728,0.0
17.68,1.0,1.8059995791244199,0.01199915824883959,-0.006725966163785003,0.9998069806028849,0.0
17.7,1.0,1.8059319122246205,0.011863824449240702,-0.006766689979944424,0.999805605389887,0.0
17.72,1.0,1.8058638425517284,0.011727685103456459,-0.006806967289212173,0.9998042405605243,0.0
17.740000000000002,1.0,1.8057953745980588,0.011590749196117682,-0.006846795366938839,0.9998028862346215,0.0
17.76,1.0,1.8057265128828788,0.011453025765757397,-0.0068861715180142495,0.9998015425314736,0.0
17.78,1.0,1.8056572619521083,0.011314523904216413,-0.0069250930770491815,0.9998002095698348,0.0
17.8,1.0,1.8055876263780226,0.011175252756045312,-0.006963557408555124,0.9997988874679103,0.0
17.82,1.0,1.8055176107589515,0.01103522151790287,-0.007001561907122085,0.9997975763433451,0.0
17.84,1.0,1.8054472197189755,0.010894439437950982,-0.007039103997594424,0.9997962763132148,0.0
17.86,1.0,1.805376457907623,0.010752915815246088,-0.007076181135244706,0.999794987494016,0.0
17.88,1.0,1.8053053299995636,0.010610659999127177,-0.007112790805945558,0.999793710001656,0.0
17.900000000000002,1.0,1.8052338406943003,0.010467681388600386,-0.007148930526339519,0.9997924439514438,0.0
17.92,1.0,1.8051619947158601,0.010323989431720249,-0.007184597844006881,0.9997911894580801,0.0
17.94,1.0,1.805089796812484,0.010179593624967618,-0.007219790337631486,0.9997899466356474,0.0
17.96,1.0,1.8050172517563121,0.010034503512624329,-0.007254505617164501,0.9997887155976007,0.0
17.98,1.0,1.8049443643430723,0.009888728686144606,-0.007288741323986128,0.999787496456758,0.0
18.0,1.0,1.8048711393917618,0.0097422787835233,-0.007322495131065262,0.9997862893252908,0.0
18.02,1.0,1.8047975817443305,0.00959516348866096,-0.0073557647431170695,0.9997850943147137,0.0
18.04,1.0,1.804723696265363,0.009447392530725789,-0.007388547896758491,0.9997839115358766,0.0
18.06,1.0,1.8046494878417563,0.009298975683512557,-0.007420842360661642,0.9997827410989535,0.0
18.080000000000002,1.0,1.8045749613823994,0.009149922764798455,-0.007452645935705118,0.9997815831134343,0.0
18.1,1.0,1.804500121817848,0.009000243635695992,-0.007483956455123181,0.999780437688115,0.0
18.12,1.0,1.8044249741000016,0.008849948200002936,-0.007514771784652822,0.9997793049310882,0.0
18.14,1.0,1.8043495232017748,0.008699046403549363,-0.0075450898226786895,0.9997781849497341,0.0
18.16,1.0,1.804273774116771,0.008547548233541844,-0.007574908500375878,0.9997770778507113,0.0
18.18,1.0,1.8041977318589524,0.008395463717904833,-0.007604225781850556,0.9997759837399471,0.0
18.2,1.0,1.8041214014623097,0.008242802924619265,-0.007633039664278436,0.9997749027226289,0.0
18.22,1.0,1.8040447879805293,0.008089575961058445,-0.0076613481780410725,0.9997738349031948,0.0
18.240000000000002,1.0,1.8039678964866606,0.007935792973321245,-0.007689149386859973,0.9997727803853244,0.0
18.26,1.0,1.8038907320727813,0.007781464145562675,-0.0077164413879285245,0.9997717392719299,0.0
18.28,1.0,1.803813299849661,0.00762659969932184,-0.007743222312041715,0.999770711665147,0.0
18.3,1.0,1.8037356049464237,0.007471209892847368,-0.007769490323723651,0.9997696976663262,0.0
18.32,1.0,1.8036576525102102,0.007315305020420311,-0.007795243621352855,0.9997686973760236,0.0
18.34,1.0,1.8035794477058373,0.007158895411674604,-0.007820480437285338,0.9997677108939921,0.0
