Time (s),Peak frequency (Hz),Spectral centroid (Hz),Spectral bandwidth (Hz)
149.468204,9033.203125,8850.4184344509,5335.396772123081
149.888047,8422.8515625,7914.211993168269,3748.0636037602817
150.30789,8789.0625,8693.66896306155,4459.468717061382
150.727733,8666.9921875,8225.558352127804,4119.890070778186
151.147576,8544.921875,7878.9222132016275,3406.3062330727935
151.567419,8789.0625,8887.506770001824,5669.184603901326
151.987262,8789.0625,8561.927892467453,5271.263183510873
152.407105,8544.921875,8203.448728946505,5211.371759289727
152.826948,5737.3046875,6908.794970958111,4943.691790992071
153.246791,9033.203125,8986.29906623767,5579.89574484095
153.666634,8544.921875,7988.844377635228,4903.414071646387
154.086477,8666.9921875,7684.83751184528,4705.181090933632
154.50632,8911.1328125,7514.293712011981,4799.411702745636
154.926163,8911.1328125,8433.291704823638,4849.950813273152
155.346006,6713.8671875,7892.949636722537,4687.867500184756
155.765849,8422.8515625,7038.018906779911,4070.4174165184318
156.185692,8789.0625,8346.899256312028,4708.71386475529
156.605535,5981.4453125,7493.528102166652,5016.907565756217
157.025378,8666.9921875,8677.03384438107,5326.198841072441
157.445221,8544.921875,8179.718406248246,4785.329093326148
157.865064,8544.921875,8966.112983890005,5672.0790585340355
158.284907,8422.8515625,7580.866261918045,4856.294250550103
158.70475,8544.921875,7884.845914615946,3928.849550168056
159.124593,8544.921875,8387.586680753217,4219.869190556571
159.544436,8422.8515625,8994.069185471068,6108.544338579734
159.964279,8544.921875,8249.48150785913,4204.9635661152515
160.384122,8789.0625,8289.69361130782,4240.809912295083
160.803965,8666.9921875,7941.329745374661,4539.4220888184145
161.223808,8544.921875,8600.73791062318,5043.0499300362435
161.643651,8789.0625,8604.716583478383,4579.996122908906
162.063494,8666.9921875,8190.214754983538,4911.491490432027
162.483337,6713.8671875,8938.18655718143,5579.082507168377
162.90318,8422.8515625,8050.044932740461,4413.500723029279
163.323023,8666.9921875,8526.17928682682,4360.04358134634
163.742866,8911.1328125,8767.465297353901,6851.109565335411
164.162709,8544.921875,8524.441644795108,5266.193420419613
164.582552,8544.921875,8614.183230773753,5190.214700841244
165.002395,8422.8515625,8043.331034180309,4458.85764932998
165.422238,8789.0625,8701.246920569152,4803.344120703333
165.842081,9033.203125,7995.1760620327495,4674.600195027359
166.261924,8666.9921875,8710.251801068787,4290.128724667059
166.681767,8789.0625,9152.674995283709,5505.35347265879
167.10161,8666.9921875,8942.367389001558,5109.873008278845
167.521453,8666.9921875,8902.233574560154,5090.723642036712
167.941296,8666.9921875,7839.12839876718,5354.799452800774
168.361139,8544.921875,8615.41034829932,4736.20117305779
168.780982,8422.8515625,8242.518015653444,4869.591013254365
169.200825,8544.921875,7691.549810000337,4727.891883494038
169.620668,8789.0625,7875.273508274149,4336.39851163996
170.040511,8789.0625,8846.46003918744,6536.452518108836
170.460354,8666.9921875,8303.080814754601,5839.269755466441
170.880197,8544.921875,8333.559446450961,5603.826286648599
171.30004,8666.9921875,7967.179153857772,4426.765452924822
171.719883,8544.921875,8227.239712843593,4025.275613252778
172.139726,8666.9921875,9682.956223676181,5792.825300530055
172.559569,8666.9921875,8973.815245297825,4815.663851238561
172.979412,8666.9921875,9060.509679701545,5341.438407596869
173.399255,8789.0625,9317.57059322768,4670.683027427118
173.819098,8300.78125,7897.393845675105,4679.483889860039
174.238941,8666.9921875,8293.56502927511,5539.508742358574
174.658784,8911.1328125,8880.424668609781,4510.212226488427
175.078627,8789.0625,8694.145848783892,5316.396627884624
