H_min,DeltaT_s_K,m,RSS,within_approx_95pct_profile,RSS_95pct_threshold
0.11,148.9190296061619,2.0039788487232726,0.05155134624766216,True,0.05872281768199147
0.111,148.79692092552435,2.0044857420038267,0.051559661359609446,True,0.05872281768199147
0.112,148.6747674293132,2.00499420114556,0.05156800928976637,True,0.05872281768199147
0.113,148.5525707188766,2.0055041885514457,0.05157639022709756,True,0.05872281768199147
0.114,148.43032919376043,2.006015755824729,0.0515848043619751,True,0.05872281768199147
0.115,148.30804370883203,2.006528884786257,0.05159325188621599,True,0.05872281768199147
0.116,148.18571452060732,2.0070435705360494,0.051601732993082905,True,0.05872281768199147
0.117,148.06334097170478,2.0075598458634563,0.0516102478772925,True,0.05872281768199147
0.11800000000000001,147.94092346455793,2.0080776943586636,0.051618796735045006,True,0.05872281768199147
0.11900000000000001,147.81846163688422,2.008597140755113,0.051627379764020764,True,0.05872281768199147
0.12,147.69595556271528,2.009118186633601,0.051635997163406576,True,0.05872281768199147
0.121,147.5734051127616,2.0096408429815673,0.05164464913390367,True,0.05872281768199147
0.122,147.45081071572113,2.0101651038472084,0.05165333587774626,True,0.05872281768199147
0.123,147.3281719401862,2.010690986357102,0.05166205759870933,True,0.05872281768199147
0.124,147.20548837238405,2.0112185116220953,0.05167081450212546,True,0.05872281768199147
0.125,147.0827606676812,2.011747662964108,0.05167960679490896,True,0.05872281768199147
0.126,146.95998878492102,2.012278452858096,0.051688434685556395,True,0.05872281768199147
0.127,146.837172049146,2.0128109006989034,0.05169729838416698,True,0.05872281768199147
0.128,146.71431135100374,2.0133449936920584,0.05170619810246483,True,0.05872281768199147
0.129,146.59140504871107,2.0138807873431825,0.05171513405379305,True,0.05872281768199147
0.13,146.46845577982162,2.014418199920259,0.05172410645317616,True,0.05872281768199147
0.131,146.3454604495867,2.014957342716153,0.0517331155172583,True,0.05872281768199147
0.132,146.22242102861915,2.015498159986984,0.05174216146440391,True,0.05872281768199147
0.133,146.09933725524033,2.016040660217507,0.051751244514660406,True,0.05872281768199147
0.134,145.9762083209048,2.0165848827317534,0.05176036488977944,True,0.05872281768199147
0.135,145.85303451571224,2.017130820319993,0.05176952281325463,True,0.05872281768199147
0.136,145.7298161521466,2.017678472204435,0.05177871851032408,True,0.05872281768199147
0.137,145.6065526815889,2.0182278647023306,0.051787952207981595,True,0.05872281768199147
0.138,145.48324504482346,2.0187789707231545,0.05179722413501605,True,0.05872281768199147
0.139,145.35989177635133,2.0193318468405934,0.051806534521989606,True,0.05872281768199147
0.14,145.2364942512688,2.019886453160354,0.051815883601306525,True,0.05872281768199147
0.14100000000000001,145.11305137240217,2.020442838493798,0.051825271607176926,True,0.05872281768199147
0.14200000000000002,144.98956341625092,2.021000992493409,0.05183469877567895,True,0.05872281768199147
0.14300000000000002,144.866030565867,2.0215609245443416,0.05184416534475134,True,0.05872281768199147
0.14400000000000002,144.74245288462416,2.02212263282926,0.051853671554223504,True,0.05872281768199147
0.145,144.61882948776775,2.0226861600367734,0.05186321764581359,True,0.05872281768199147
0.146,144.4951611877757,2.0232514819246004,0.05187280386318512,True,0.05872281768199147
0.147,144.37144815962233,2.0238186013001833,0.05188243045193377,True,0.05872281768199147
0.148,144.2476895243431,2.0243875539332037,0.05189209765960537,True,0.05872281768199147
0.149,144.12388567120195,2.024958342409404,0.05190180573573507,True,0.05872281768199147
0.15,144.0000363012873,2.025530970565741,0.05191155493185947,True,0.05872281768199147
0.151,143.8761424926595,2.0261054224128805,0.051921345501538686,True,0.05872281768199147
