pressure_kpa,T_sat_C,DeltaT_MFB_Berenson_K,T_MFB_Berenson_C,T_MFB_Henry_Cu_C
17.424657534246574,57.108438536967185,20.7067874096195,77.81522594658668,89.44848378576505
17.922374429223744,57.70619706264779,21.202688267665376,78.90888533031317,90.65042740270837
18.42009132420091,58.28996171187828,21.696039152578155,79.98600086445643,91.83368851767793
18.91780821917808,58.86043062083621,22.186910340639848,81.04734096147607,92.99913140534208
19.41552511415525,59.41824974108039,22.675368363588127,82.09361810466851,94.14755774252933
19.913242009132418,59.964017968955375,23.161476299335618,83.12549426829099,95.27971264955609
20.410958904109588,60.498291656123456,23.645294033400294,84.14358568952375,96.39629001157053
20.908675799086758,61.021588589055455,24.12687849464451,85.14846708369997,97.49793718119814
21.406392694063925,61.53439151106551,24.60628386839757,86.14067537946308,98.58525914741868
21.904109589041095,62.037151248817565,25.08356178960885,87.12071303842642,99.65882224228503
22.401826484018265,62.53028949563992,25.558761518313638,88.08905101395356,100.71915744604226
22.899543378995432,63.01420129605788,26.03193009938954,89.04613139544742,101.76676334213487
23.397260273972602,63.48925726937358,26.503112508321646,89.99236977769523,102.80210876599965
23.89497716894977,63.95580560463526,26.97235178447173,90.92815738910699,103.825635185214
24.39269406392694,64.41417385474239,27.439689153163428,91.85386300790582,104.83775884329798
24.89041095890411,64.8646705535736,27.90516413773038,92.76983469130398,105.83887269498217
25.388127853881276,65.30758667676292,28.368814662536373,93.6764013392993,106.82934815700136
25.885844748858446,65.74319696399436,28.83067714785836,94.57387411185272,107.80953669527929
26.383561643835616,66.1717611183368,29.290786597420457,95.46254771575727,108.77977126665913
26.881278538812783,66.59352489614588,29.74917667927364,96.34270157541951,109.74036763099429
27.378995433789953,67.00872109934733,30.205879800643324,97.21460089999064,110.69162554746964
27.876712328767123,67.41757048045343,30.66092717729632,98.07849765774975,111.63382986727993
28.37442922374429,67.8202825693981,31.11434889791653,98.93463146731463,112.56725153334028
28.87214611872146,68.217056430193,31.56617398393402,99.78323041412702,113.49214849644441
29.36986301369863,68.60808135446064,32.01643044519763,100.62451179965826,114.40876655617923
29.867579908675797,68.993537498087,32.46514533184826,101.45868282993526,115.31734013394043
30.365296803652967,69.37359646652334,32.91234478271037,102.2859412492337,116.21809298459038
30.863013698630134,69.74842185365083,33.35805407048741,103.10647592413824,117.11123885254882
31.360730593607304,70.118169738576,33.80229764402278,103.92046738259879,117.99698207749347
31.858447488584474,70.48298914425635,34.24509916785874,104.72808831211509,118.87551815427514
32.35616438356164,70.84302246143488,34.68648155930618,105.52950402074106,119.74703425117983
32.85388127853881,71.19840584099995,35.126467023217735,106.3248728642177,120.61170969023
33.35159817351598,71.54926955756218,35.565077084639334,107.11434664220153,121.46971639283963
33.84931506849315,71.8957383467565,36.00233261949987,107.89807096625637,122.32121929381265
34.347031963470315,72.2379317185248,36.438253883481934,108.67618560200674,123.16637672635682
34.84474885844749,72.57596424841228,36.87286053920949,109.44882478762176,124.00534078054633
35.342465753424655,72.90994584870981,37.306171681871085,110.2161175305809,124.8382576374168
35.84018264840182,73.23998202110198,37.73820586338898,110.97818788449095,125.66526788066278
36.337899543378995,73.56617409231853,38.168981115237656,111.73515520755619,126.48650678774491
36.83561643835616,73.8886194341506,38.59851497000418,112.48713440415477,127.30210460202525
37.33333333333333,74.20741166906464,39.02682448177363,113.23423615083827,128.11218678740303
