pressure_kpa,T_sat_C,q_CHF_Zuber_W_cm2,q_MHF_Berenson_scale_W_cm2,H_min_hydrodynamic_scale
40.0,75.85683037640524,75.42181021385329,0.8306482363217912,0.011013369129785481
41.0,76.45153407733216,76.21018052635205,0.8492469838106159,0.011143484741083409
42.0,77.03415154414523,76.98687247117259,0.8677927017108937,0.011271956813622154
43.0,77.60521226923072,77.75231985025462,0.8862866315248502,0.011398844860600617
44.0,78.16521081393341,78.50693075615388,0.9047299573953281,0.011524204916448216
45.0,78.71460985030342,79.25108964030873,0.9231238099995841,0.011648089814150194
46.0,79.25384287666469,79.98515917298843,0.9414692700980537,0.011770549434825589
47.0,79.78331664826896,80.70948191994835,0.9597673717754829,0.011891630932873879
48.0,80.3034133583177,81.42438185734254,0.9780191054070241,0.012011378939548316
49.0,80.81449259962716,82.13016574352837,0.9962254203780101,0.012129835747427674
50.0,81.31689313299847,82.827124363899,1.0143872275823285,0.01224704147792989
51.0,81.81093448480306,83.51553366279495,1.0325054017216289,0.012363034233733168
52.0,82.29691839328484,84.19565577472954,1.0505807834247234,0.01247785023773215
53.0,82.77513012052276,84.8677399656431,1.0686141812045131,0.012591523959953674
54.0,83.24583964481877,85.53202349357164,1.086606373267687,0.012704088233681896
55.0,83.70930274641023,86.18873239698587,1.1045581091907961,0.012815574361892158
56.0,84.16576199780718,86.8380822180774,1.1224701114748494,0.012926012214963227
57.0,84.6154476686778,87.48027866741734,1.1403430769892078,0.013035430320524765
58.0,85.05857855401814,88.11551823568091,1.1581776783145044,0.013143855946199493
59.0,85.49536273331512,88.74398875748574,1.1759745649932416,0.013251315175914331
60.0,85.92599826751842,89.36586993184012,1.1937343646959022,0.013357832980380211
61.0,86.35067383986404,89.98133380319926,1.2114576843095497,0.01346343328227567
62.0,86.76956934591487,90.59054520670583,1.2291451109552858,0.013568139016612302
63.0,87.18285643759367,91.19366218081927,1.246797212940355,0.013671972186709631
64.0,87.59069902546509,91.79083635018387,1.2644145406498566,0.013774953916163155
65.0,87.99325374307273,92.38221328133237,1.2819976273831044,0.013877104497150612
66.0,88.39067037673209,92.96793281351492,1.2995469901384726,0.013978443435385873
67.0,88.78309226383487,93.54812936676502,1.3170631303510465,0.014078989492001124
68.0,89.17065666240319,94.12293222906249,1.334546534586223,0.014178760722609034
69.0,89.55349509436058,94.69246582431252,1.3519976751927578,0.014277774513773715
70.0,89.93173366474156,95.25684996266921,1.3694170109180086,0.014376047617097121
71.0,90.30549335884456,95.81620007461038,1.386804987488218,0.014473596181108597
72.0,90.67489031913976,96.37062743001893,1.4041620381560835,0.014570435781127796
73.0,91.04003610357438,96.92023934344228,1.4214885842181948,0.01466658144725655
74.0,91.40103792675899,97.46513936656224,1.4387850355040792,0.014762047690640137
75.0,91.75799888538666,98.00542746884071,1.4560517908389268,0.014856848528127237
76.0,92.11101816911179,98.54120020721504,1.4732892384817626,0.014950997505446362
77.0,92.46019125800274,99.07255088564148,1.4904977565406148,0.015044507719005666
78.0,92.80561010758845,99.59956970521137,1.5076777133661463,0.015137391836415331
79.0,93.14736332242518,100.1223439055231,1.5248294679252752,0.015229662115822284
80.0,93.48553631903252,100.64095789790639,1.5419533701558275,0.015321330424140411
81.0,93.82021147897365,101.1554933910787,1.559049761303599,0.015412408254252039
82.0,94.15146829278979,101.666029509741,1.5761189742427744,0.015502906741250879
83.0,94.47938349544052,102.17264290659881,1.5931613337808324,0.015592836677790765
84.0,94.80403119384715,102.67540786823785,1.6101771569487389,0.015682208528599764
85.0,95.12548298708685,103.17439641527059,1.6271667532774219,0.01577103244421393
86.0,95.44380807974346,103.6696783971184,1.6441304250612412,0.01585931827398185
87.0,95.75907338887936,104.16132158178303,1.6610684676093082,0.015947075578386437
88.0,96.07134364505526,104.64939174091789,1.6779811694851996,0.016034313640727157
89.0,96.38068148779445,105.13395273050467,1.6948688127359008,0.016121041478203015
90.0,96.68714755585427,105.61506656740238,1.7117316731104377,0.016207267852433056
91.0,96.99080057264308,106.09279350202561,1.7285700202688492,0.016293001279449257
92.0,97.29169742709325,106.56719208738923,1.7453841179820144,0.01637825003919341
93.0,97.58989325027875,107.03831924473573,1.7621742243227974,0.01646302218454783
94.0,97.88544148804459,107.5062303259509,1.7789405918490093,0.016547325549927605
95.0,98.17839396989604,107.97097917295736,1.7956834677786246,0.016631167759460084
96.0,98.46880097437725,108.43261817426276,1.8124030941576457,0.016714556234775416
97.0,98.75671129115244,108.89119831882364,1.8290997080209588,0.016797498202430643
98.0,99.04217227998913,109.34676924738442,1.8457735415466319,0.01688000070098809
99.0,99.32522992682703,109.79937930142994,1.8624248222039128,0.016962070587767504
100.0,99.60592889710506,110.24907556988475,1.8790537728952441,0.017043714545290207
