xi,H_median,H_lower_95,H_upper_95,n_successful_bootstrap,seed
0.2812572794699485,0.8851338534656441,0.8598741564870626,0.9089498177094687,2000,20260803
0.28449012176270655,0.8830698203207685,0.8576467805440607,0.9070956930659816,2000,20260803
0.28772296405546455,0.8809951547851094,0.8554127727327739,0.9052273712825614,2000,20260803
0.2909558063482226,0.8789100138685504,0.8531722860260578,0.9033449857576559,2000,20260803
0.2941886486409806,0.8768145534516709,0.8509254715280148,0.9014486698785652,2000,20260803
0.29742149093373865,0.8747089283046718,0.8486724785124532,0.899538557020447,2000,20260803
0.3006543332264967,0.8725932921054542,0.8464134544598968,0.8976147805450194,2000,20260803
0.3038871755192547,0.8704677974568934,0.8441485450932162,0.8956774737989749,2000,20260803
0.30712001781201276,0.8683325959033483,0.8418778944119509,0.8937267701121244,2000,20260803
0.31035286010477076,0.8661878379464459,0.8396016447253846,0.891762802795282,2000,20260803
0.3135857023975288,0.8640336730601754,0.8373199366844327,0.8897857051379032,2000,20260803
0.3168185446902868,0.8618702497053263,0.8350329093124015,0.8877956104054935,2000,20260803
0.32005138698304486,0.8596977153433025,0.8327407000346677,0.8857926518367931,2000,20260803
0.32328422927580286,0.8575162164493437,0.8304434447073334,0.8837769626407548,2000,20260803
0.3265170715685609,0.8553258985251813,0.8281412776449,0.8817486759933221,2000,20260803
0.32974991386131897,0.853126906111157,0.8258343316470076,0.8797079250340192,2000,20260803
0.33298275615407696,0.8509193827978292,0.8235227380242837,0.8776548428623622,2000,20260803
0.336215598446835,0.8487034712370922,0.8212066266233375,0.8755895625341021,2000,20260803
0.339448440739593,0.8464793131528305,0.8188861258509419,0.8735122170573063,2000,20260803
0.34268128303235107,0.8442470493511303,0.8165613626974356,0.8714229393882884,2000,20260803
0.34591412532510907,0.8420068197300693,0.8142324627593831,0.8693218624273945,2000,20260803
0.3491469676178671,0.8397587632891043,0.8118995502615204,0.8672091190146531,2000,20260803
0.3523798099106251,0.8375030181380747,0.8095627480780219,0.8650848419252964,2000,20260803
0.3556126522033832,0.8352397215058406,0.8072221777531122,0.8629491638651592,2000,20260803
0.3588454944961412,0.8329690097485711,0.8048779595210566,0.8608022174659635,2000,20260803
0.3620783367888992,0.8306910183577014,0.8025302123255503,0.8586441352804944,2000,20260803
0.3653111790816573,0.8284058819675693,0.800179053838536,0.8564750497776727,2000,20260803
0.3685440213744153,0.8261137343627507,0.79782460047847,0.8542950933375327,2000,20260803
0.37177686366717333,0.8238147084851055,0.7954669674280626,0.8521043982461068,2000,20260803
0.3750097059599313,0.8215089364405459,0.7931062686515115,0.8499030966902275,2000,20260803
0.3782425482526894,0.8191965495055413,0.7907426169112497,0.8476913207522456,2000,20260803
0.3814753905454474,0.8168776781333724,0.7883761237842275,0.8454692024046778,2000,20260803
0.38470823283820543,0.8145524519601435,0.7860068996777473,0.843236873504779,2000,20260803
0.3879410751309635,0.8122209998105653,0.7836350538448671,0.8409944657890526,2000,20260803
0.3911739174237215,0.8098834497035192,0.7812606943993918,0.8387421108676971,2000,20260803
0.39440675971647954,0.8075399288574112,0.7788839283304673,0.8364799402189974,2000,20260803
0.39763960200923754,0.8051905636953264,0.7765048615167917,0.8342080851836616,2000,20260803
0.4008724443019956,0.8028354798499915,0.7741235987404603,0.8319266769591095,2000,20260803
0.4041052865947536,0.8004748021685564,0.7717402437004565,0.8296358465937159,2000,20260803
0.40733812888751164,0.7981086547171996,0.7693548990258028,0.8273357249810126,2000,20260803
0.41057097118026964,0.7957371607855692,0.7669676662883844,0.8250264428538517,2000,20260803
0.4138038134730277,0.7933604428910632,0.764578646015457,0.8227081307785349,2000,20260803
0.41703665576578575,0.7909786227829592,0.7621879377018523,0.8203809191489108,2000,20260803
0.42026949805854374,0.7885918214463988,0.7597956398218898,0.8180449381804453,2000,20260803
0.4235023403513018,0.7862001591062338,0.7574018498410063,0.8157003179042659,2000,20260803
0.4267351826440598,0.7838037552307402,0.7550066642271156,0.8133471881611837,2000,20260803
0.42996802493681785,0.7814027285352061,0.752610178461704,0.8109856785956971,2000,20260803
0.43320086722957585,0.7789971969854003,0.7502124870506744,0.8086159186499786,2000,20260803
0.4364337095223339,0.7765872778009242,0.7478136835349469,0.8062380375578472,2000,20260803
0.4396665518150919,0.7741730874584563,0.7454138605008224,0.8038521643387299,2000,20260803
0.44289939410784995,0.771754741694891,0.7430131095901215,0.8014584277916155,2000,20260803
0.446132236400608,0.7693323555103786,0.7406115215101027,0.7990569564889995,2000,20260803
0.449365078693366,0.7669060431712694,0.73820918604317,0.7966478787708284,2000,20260803
0.45259792098612406,0.764475918212969,0.7358061920563749,0.7942313227384388,2000,20260803
0.45583076327888206,0.7620420934427051,0.7334026275107224,0.7918074162484992,2000,20260803
0.4590636055716401,0.759604680942215,0.7309985794702849,0.7893762869069533,2000,20260803
0.4622964478643981,0.7571637920703527,0.7285941341111329,0.7869380620629687,2000,20260803
0.46552929015715616,0.7547195374656224,0.7261893767300868,0.7844928688028912,2000,20260803
0.46876213244991416,0.752272027048642,0.7237843917532958,0.7820408339442081,2000,20260803
0.4719949747426722,0.749821370024538,0.7213792627446518,0.779582084029522,2000,20260803
0.47522781703543027,0.747367674885278,0.7189740724140404,0.7771167453205365,2000,20260803
0.47846065932818826,0.7449110494119409,0.7165689026254366,0.7746449437920558,2000,20260803
